order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
53,40,76,Matar Paneer,20-01-2025,09:38:53,Cancelled,363.69
54,123,192,Hyderabadi Biryani,20-11-2024,05:48:26,Cancelled,177.21
55,866,83,Matar Paneer,24-06-2025,22:42:50,Delivered,737.3
56,428,49,Fish Curry,04-06-2025,02:09:59,Delivered,890.59
57,567,32,Tandoori Chicken,03-11-2024,06:18:10,Delivered,760.07
58,374,23,Chicken Tikka Masala,15-12-2024,11:19:55,Delivered,391.44
59,397,15,Biryani,11-02-2025,09:02:38,Delivered,917.64
60,794,164,Hyderabadi Biryani,17-03-2025,13:24:01,Delivered,506.53
61,694,81,Korma,16-10-2024,18:23:36,Delivered,645.11
62,743,7,Litti Chokha,30-03-2025,12:30:01,Delivered,254.9
63,515,195,Hyderabadi Biryani,27-02-2025,11:41:05,Cancelled,893.88
64,190,75,Tandoori Chicken,03-10-2024,23:12:08,Cancelled,425.11
65,677,38,Vada Pav,20-08-2024,15:02:16,Cancelled,162.89
66,738,125,Rogan Josh,01-10-2024,17:50:07,Delivered,766.29
67,291,193,Rogan Josh,19-05-2025,20:52:36,Delivered,466.6
68,482,81,Butter Chicken,04-02-2025,11:12:45,Cancelled,323.72
69,617,108,Masala Dosa,10-08-2024,15:39:38,Delivered,151.42
70,257,88,Idli Sambhar,17-04-2025,18:07:54,Cancelled,694.49
71,999,69,Aloo Paratha,27-10-2024,08:57:14,Cancelled,862.53
72,828,197,Aloo Paratha,08-02-2025,08:57:28,Cancelled,684.86
73,671,42,Vada Pav,19-09-2024,03:44:02,Delivered,842.13
74,745,124,Idli Sambhar,13-09-2024,06:11:45,Delivered,306.2
75,258,125,Biryani,13-05-2025,08:43:17,Delivered,611.14
76,382,152,Tandoori Chicken,14-02-2025,17:43:03,Delivered,955.13
77,410,101,Kadhi Pakora,19-02-2025,06:36:40,Delivered,346.8
78,743,31,Rogan Josh,11-04-2025,20:02:33,Delivered,293.25
79,654,1,Rogan Josh,26-11-2024,02:37:21,Cancelled,114.12
80,250,184,Masala Dosa,21-04-2025,21:21:44,Cancelled,997.96
81,485,125,Korma,03-07-2025,05:21:10,Cancelled,395.88
82,44,11,Pesarattu,26-04-2025,10:00:07,Cancelled,734.38
83,71,195,Biryani,20-02-2025,14:23:40,Delivered,635.83
84,759,50,Hyderabadi Biryani,27-04-2025,15:30:50,Delivered,201.97
85,735,187,Rajma Chawal,02-07-2025,14:21:31,Cancelled,769.19
86,224,77,Appam with Stew,02-02-2025,16:36:08,Delivered,391.41
87,664,117,Korma,20-08-2024,14:37:11,Delivered,298
88,23,55,Palak Paneer,24-06-2025,12:27:13,Cancelled,856.88
89,737,3,Korma,07-08-2024,16:43:30,Delivered,168.29
90,459,127,Masala Dosa,15-09-2024,05:14:58,Delivered,686.66
91,741,47,Matar Paneer,12-10-2024,20:15:43,Cancelled,628.92
92,233,200,Butter Chicken,28-05-2025,16:17:01,Delivered,159.14
93,632,67,Paneer Tikka,21-03-2025,10:15:32,Cancelled,905.5
94,238,118,Matar Paneer,26-02-2025,22:52:53,Cancelled,102.25
95,804,149,Aloo Paratha,17-03-2025,11:53:18,Delivered,385.24
96,56,30,Pav Bhaji,21-02-2025,15:12:58,Cancelled,910.04
97,972,103,Biryani,03-09-2024,00:05:03,Cancelled,427.75
98,669,46,Rogan Josh,19-06-2025,15:43:38,Delivered,577.98
99,997,93,Chicken Tikka Masala,30-05-2025,06:51:58,Delivered,955.2
100,151,189,Kebabs,11-02-2025,02:54:05,Delivered,959.02
101,90,36,Rogan Josh,24-02-2025,13:18:37,Cancelled,322.83
102,947,175,Pav Bhaji,09-03-2025,19:23:43,Delivered,388.16
103,85,62,Palak Paneer,30-07-2024,23:18:25,Delivered,243.08
104,226,40,Chole Bhature,26-05-2025,04:39:04,Delivered,692.18
105,570,164,Appam with Stew,07-12-2024,16:19:37,Delivered,662.1
106,889,55,Chole Bhature,30-05-2025,23:36:08,Cancelled,131.3
107,414,179,Vada Pav,04-06-2025,05:36:12,Delivered,518.32
108,756,80,Tandoori Chicken,08-08-2024,14:00:54,Cancelled,397.24
109,59,90,Palak Paneer,05-01-2025,18:52:11,Delivered,637.74
110,508,143,Dhokla,12-11-2024,02:14:02,Delivered,253.85
111,151,157,Dhokla,23-02-2025,05:19:27,Cancelled,849.98
112,928,115,Tandoori Chicken,28-04-2025,11:38:37,Delivered,175.89
113,860,38,Appam with Stew,14-04-2025,05:05:04,Cancelled,795.43
114,235,27,Pav Bhaji,15-08-2024,07:37:30,Delivered,489.12
115,280,181,Pesarattu,24-01-2025,05:22:39,Delivered,596.25
116,858,7,Aloo Paratha,04-06-2025,17:57:20,Cancelled,409.09
117,923,134,Pesarattu,26-10-2024,09:10:22,Cancelled,187.6
118,251,150,Pav Bhaji,27-02-2025,05:12:02,Delivered,873.16
119,641,136,Hyderabadi Biryani,03-11-2024,19:34:19,Cancelled,998.18
120,628,140,Matar Paneer,04-11-2024,13:39:54,Delivered,924.2
121,485,127,Palak Paneer,23-04-2025,03:13:54,Cancelled,655.13
122,731,114,Kadhi Pakora,04-03-2025,11:00:46,Delivered,716.63
123,171,179,Butter Chicken,09-01-2025,23:16:13,Cancelled,992.93
124,282,19,Rogan Josh,07-12-2024,09:26:58,Delivered,662.82
125,730,198,Matar Paneer,06-03-2025,04:39:19,Delivered,265.81
126,514,45,Pesarattu,26-03-2025,10:13:57,Delivered,963.22
127,60,179,Chole Bhature,04-06-2025,00:47:06,Delivered,794.48
128,949,53,Pesarattu,04-01-2025,09:20:56,Delivered,549.59
129,735,103,Paneer Tikka,23-03-2025,12:52:47,Delivered,585.47
130,390,44,Butter Chicken,26-05-2025,21:11:17,Delivered,141.08
131,688,139,Litti Chokha,23-04-2025,14:58:23,Cancelled,188.5
132,119,11,Palak Paneer,24-07-2025,18:00:57,Cancelled,188.62
133,574,85,Idli Sambhar,15-12-2024,19:15:35,Delivered,127.27
134,711,172,Vada Pav,28-03-2025,02:16:31,Delivered,345.61
135,383,48,Kebabs,04-01-2025,04:24:11,Cancelled,624.43
136,660,73,Pav Bhaji,06-02-2025,17:56:45,Cancelled,432.33
137,636,167,Baingan Bharta,29-07-2024,22:42:22,Delivered,776.68
138,532,120,Chole Bhature,21-05-2025,09:43:06,Cancelled,223.01
139,2,146,Vada Pav,19-02-2025,13:15:48,Cancelled,528.85
140,75,194,Hyderabadi Biryani,28-11-2024,07:55:15,Delivered,518.54
141,195,184,Baingan Bharta,08-12-2024,21:22:25,Delivered,139.82
142,206,118,Chicken Tikka Masala,16-02-2025,23:00:03,Cancelled,757.83
143,678,67,Korma,11-07-2025,03:18:27,Delivered,161.19
144,10,115,Kebabs,20-11-2024,19:39:35,Delivered,327.45
145,959,53,Butter Chicken,12-10-2024,17:07:42,Delivered,361.85
146,272,126,Baingan Bharta,03-06-2025,00:31:12,Delivered,886.1
147,434,1,Litti Chokha,27-06-2025,22:07:00,Cancelled,954.75
148,847,169,Paneer Tikka,24-04-2025,16:53:12,Delivered,893.96
149,513,80,Baingan Bharta,13-03-2025,12:41:09,Cancelled,890.25
150,820,169,Masala Dosa,13-05-2025,19:39:31,Delivered,564.89
151,660,36,Idli Sambhar,12-01-2025,09:51:38,Delivered,209.3
152,717,122,Pav Bhaji,22-04-2025,03:38:40,Delivered,774.86
153,330,12,Chicken Tikka Masala,27-11-2024,03:21:09,Delivered,959.44
154,935,24,Vada Pav,05-03-2025,01:09:13,Cancelled,122.25
155,596,141,Appam with Stew,26-10-2024,13:53:16,Cancelled,854.76
156,986,7,Dhokla,27-12-2024,10:46:06,Cancelled,665.22
157,373,59,Biryani,15-09-2024,04:26:16,Delivered,951.81
158,792,94,Tandoori Chicken,13-03-2025,00:09:02,Cancelled,427.2
159,16,73,Paneer Tikka,25-04-2025,09:04:05,Delivered,451.71
160,658,151,Rogan Josh,05-05-2025,22:34:48,Delivered,540.89
161,800,128,Masala Dosa,04-03-2025,22:32:49,Cancelled,727.91
162,907,195,Masala Dosa,12-07-2025,08:36:56,Cancelled,985.16
163,165,12,Palak Paneer,18-10-2024,03:34:42,Cancelled,695.14
164,739,50,Korma,03-09-2024,01:46:58,Delivered,201.49
165,981,155,Pav Bhaji,06-11-2024,23:11:33,Delivered,918.41
166,483,91,Dhokla,17-08-2024,10:28:16,Delivered,535
167,156,147,Paneer Tikka,08-05-2025,18:50:41,Delivered,702.65
168,768,71,Baingan Bharta,15-04-2025,13:29:50,Delivered,302.08
169,16,68,Tandoori Chicken,20-09-2024,13:08:06,Delivered,298.47
170,690,191,Idli Sambhar,19-01-2025,16:38:23,Cancelled,995.43
171,205,6,Rajma Chawal,08-12-2024,02:59:03,Delivered,799.73
172,601,64,Masala Dosa,01-03-2025,06:01:33,Delivered,683.55
173,537,71,Korma,29-11-2024,08:25:05,Cancelled,399.39
174,915,88,Chole Bhature,20-09-2024,08:19:14,Cancelled,974.78
175,567,123,Hyderabadi Biryani,11-02-2025,23:06:22,Cancelled,769.86
176,37,144,Idli Sambhar,25-05-2025,17:19:59,Delivered,740.02
177,480,92,Dhokla,24-01-2025,06:32:17,Delivered,267.8
178,364,116,Litti Chokha,05-03-2025,03:39:15,Cancelled,733.5
179,898,138,Aloo Paratha,14-08-2024,10:31:21,Cancelled,347.53
180,243,79,Vada Pav,16-04-2025,07:19:29,Delivered,868.91
181,761,167,Paneer Tikka,20-02-2025,14:58:18,Delivered,215.4
182,262,23,Litti Chokha,01-05-2025,11:44:28,Cancelled,527.94
183,746,141,Vada Pav,08-07-2025,21:31:02,Cancelled,638.1
184,726,161,Korma,06-09-2024,09:14:09,Delivered,339.55
185,389,11,Matar Paneer,23-10-2024,14:05:12,Cancelled,590.95
186,394,22,Dhokla,12-05-2025,19:43:48,Cancelled,988.77
187,352,25,Fish Curry,02-07-2025,21:41:22,Delivered,311.24
188,247,106,Baingan Bharta,03-06-2025,17:16:08,Delivered,991.42
189,946,142,Litti Chokha,24-07-2025,06:05:39,Delivered,591.24
190,134,91,Chole Bhature,06-11-2024,23:23:03,Delivered,719.84
191,365,135,Rogan Josh,11-04-2025,20:10:00,Delivered,190.26
192,345,85,Korma,04-11-2024,14:57:19,Cancelled,330.96
193,470,161,Chole Bhature,04-07-2025,01:11:54,Delivered,992.9
194,319,174,Matar Paneer,24-03-2025,08:21:48,Delivered,199.78
195,854,179,Rajma Chawal,21-08-2024,22:06:29,Delivered,641.11
196,103,124,Korma,17-08-2024,01:49:57,Delivered,719.69
197,193,83,Appam with Stew,02-08-2024,07:42:14,Cancelled,317.88
198,129,101,Tandoori Chicken,12-08-2024,19:27:06,Delivered,362.06
199,411,180,Aloo Paratha,10-05-2025,12:13:08,Delivered,881.83
200,667,117,Biryani,15-05-2025,03:09:00,Delivered,397.06
201,506,6,Masala Dosa,04-04-2025,03:24:32,Cancelled,994.11
202,538,181,Baingan Bharta,10-09-2024,13:11:21,Delivered,636.57
203,28,62,Rogan Josh,13-04-2025,11:25:19,Delivered,356.4
204,768,87,Rajma Chawal,09-05-2025,20:40:29,Delivered,777.33
205,7,104,Biryani,07-08-2024,05:28:22,Delivered,512.23
206,91,19,Kebabs,11-03-2025,19:46:56,Delivered,369.15
207,503,135,Tandoori Chicken,18-12-2024,16:04:21,Delivered,842.9
208,56,13,Pav Bhaji,13-11-2024,15:44:24,Delivered,323.85
209,778,31,Kadhi Pakora,06-10-2024,10:37:26,Delivered,922
210,864,130,Vada Pav,05-07-2025,19:21:11,Delivered,176.54
211,862,93,Paneer Tikka,13-12-2024,04:02:55,Delivered,659.56
212,241,131,Chole Bhature,22-02-2025,16:39:00,Delivered,853.09
213,357,107,Fish Curry,06-09-2024,21:33:51,Delivered,565.78
214,934,49,Kebabs,04-02-2025,19:05:18,Delivered,168.09
215,778,83,Rogan Josh,21-02-2025,20:46:48,Cancelled,952.68
216,277,91,Baingan Bharta,16-04-2025,08:03:43,Delivered,747.96
217,793,28,Aloo Paratha,09-02-2025,15:55:25,Delivered,326.39
218,689,133,Litti Chokha,25-09-2024,02:01:20,Cancelled,320.29
219,819,139,Baingan Bharta,11-04-2025,08:47:52,Delivered,486.31
220,283,169,Kebabs,27-07-2025,02:38:34,Cancelled,411.6
221,10,32,Rajma Chawal,14-07-2025,17:14:37,Delivered,785.43
222,3,195,Dhokla,03-02-2025,20:43:46,Cancelled,238.42
223,590,70,Rajma Chawal,27-11-2024,01:07:33,Delivered,323.81
224,90,42,Idli Sambhar,04-04-2025,17:35:21,Delivered,166.16
225,812,145,Litti Chokha,19-12-2024,11:35:05,Cancelled,274.21
226,268,40,Biryani,01-11-2024,18:51:24,Cancelled,821.47
227,469,7,Chicken Tikka Masala,23-11-2024,10:49:17,Delivered,254.26
228,720,7,Butter Chicken,25-10-2024,04:37:54,Delivered,364.03
229,864,58,Litti Chokha,14-10-2024,22:54:18,Delivered,432.72
230,626,20,Dhokla,14-12-2024,00:40:52,Cancelled,163.16
231,658,179,Tandoori Chicken,17-06-2025,04:45:39,Delivered,480.86
232,432,134,Masala Dosa,09-12-2024,12:48:46,Cancelled,428.13
233,887,103,Litti Chokha,26-10-2024,18:25:56,Cancelled,446.35
234,555,75,Vada Pav,06-04-2025,09:01:18,Delivered,172.62
235,80,101,Rogan Josh,28-11-2024,23:35:00,Cancelled,743.18
236,845,162,Butter Chicken,01-02-2025,03:46:28,Delivered,709.58
237,246,157,Rogan Josh,31-08-2024,07:05:50,Delivered,486.08
238,297,18,Biryani,13-08-2024,18:31:32,Delivered,742.81
239,390,68,Fish Curry,27-01-2025,02:27:00,Delivered,815.69
240,228,170,Dhokla,31-10-2024,09:01:41,Delivered,393.37
241,780,197,Chole Bhature,09-12-2024,04:30:45,Cancelled,168.42
242,783,132,Chole Bhature,27-02-2025,08:58:02,Cancelled,193.63
243,24,196,Aloo Paratha,03-05-2025,03:48:37,Delivered,377.9
244,616,162,Butter Chicken,23-07-2025,06:05:22,Cancelled,644.25
245,744,36,Aloo Paratha,24-04-2025,20:52:06,Cancelled,238.91
246,605,28,Pav Bhaji,31-03-2025,09:55:38,Delivered,437.95
247,429,86,Chole Bhature,05-12-2024,15:14:53,Cancelled,813.9
248,924,163,Matar Paneer,21-09-2024,23:44:05,Delivered,430.99
249,964,169,Hyderabadi Biryani,02-01-2025,07:25:33,Delivered,209.05
250,472,32,Vada Pav,28-12-2024,13:27:09,Delivered,431.79
251,933,136,Litti Chokha,08-05-2025,08:08:50,Delivered,843.76
252,477,141,Pav Bhaji,28-06-2025,10:22:32,Cancelled,366.76
253,431,73,Korma,16-10-2024,11:37:54,Cancelled,715.67
254,943,68,Hyderabadi Biryani,19-09-2024,06:16:12,Cancelled,211.79
255,210,191,Chicken Tikka Masala,16-02-2025,05:31:32,Delivered,199.89
256,372,127,Biryani,03-08-2024,21:29:25,Delivered,896.33
257,430,34,Fish Curry,13-05-2025,14:18:11,Delivered,171.56
258,178,68,Fish Curry,15-03-2025,15:00:48,Cancelled,265.54
259,832,43,Fish Curry,08-04-2025,05:23:39,Cancelled,389.81
260,85,165,Kadhi Pakora,30-07-2024,21:33:17,Cancelled,940.36
261,215,163,Korma,15-03-2025,02:00:05,Cancelled,110.73
262,97,10,Litti Chokha,22-09-2024,13:11:47,Cancelled,909.75
263,500,13,Kebabs,02-05-2025,10:15:08,Delivered,934
264,203,157,Pesarattu,09-01-2025,16:35:42,Delivered,510.58
265,257,139,Masala Dosa,19-08-2024,22:59:44,Delivered,899.78
266,295,4,Pesarattu,25-10-2024,16:51:31,Delivered,229.43
267,781,39,Biryani,28-06-2025,08:05:59,Cancelled,939.49
268,63,43,Litti Chokha,03-07-2025,09:04:21,Delivered,394.35
269,445,125,Dhokla,04-07-2025,06:38:59,Delivered,185.71
270,404,86,Chicken Tikka Masala,27-03-2025,23:37:09,Delivered,767.33
271,372,53,Rajma Chawal,28-01-2025,17:45:20,Delivered,437.07
272,677,141,Chicken Tikka Masala,21-05-2025,07:45:32,Delivered,573.5
273,460,107,Baingan Bharta,12-04-2025,02:24:21,Cancelled,861.76
274,992,72,Pesarattu,23-06-2025,22:42:11,Cancelled,822.5
275,417,13,Pav Bhaji,05-07-2025,16:34:54,Delivered,604.26
276,932,70,Chicken Tikka Masala,04-04-2025,10:36:04,Delivered,548.07
277,328,189,Rogan Josh,03-04-2025,14:18:50,Delivered,417.66
278,105,194,Matar Paneer,12-05-2025,13:18:08,Cancelled,779.06
279,803,161,Kadhi Pakora,01-05-2025,20:03:30,Delivered,954.51
280,440,158,Fish Curry,15-04-2025,09:21:42,Cancelled,352.86
281,716,122,Rogan Josh,26-01-2025,20:49:36,Cancelled,658.74
282,798,112,Kebabs,21-07-2025,08:00:21,Delivered,143.01
283,326,113,Matar Paneer,02-11-2024,04:42:41,Delivered,130.73
284,711,36,Pav Bhaji,23-08-2024,15:43:33,Delivered,574.39
285,830,162,Chicken Tikka Masala,15-02-2025,13:34:16,Delivered,764.97
286,468,146,Chole Bhature,15-05-2025,20:50:49,Cancelled,313.18
287,602,108,Litti Chokha,01-01-2025,00:46:06,Cancelled,374.66
288,718,155,Aloo Paratha,10-02-2025,17:40:04,Delivered,629.08
289,1,192,Appam with Stew,12-03-2025,15:52:11,Delivered,460.38
290,462,77,Dhokla,28-03-2025,16:54:44,Delivered,560.66
291,55,186,Pesarattu,28-01-2025,19:32:53,Delivered,879.13
292,801,198,Chicken Tikka Masala,06-02-2025,21:30:29,Delivered,367.26
293,920,180,Paneer Tikka,18-10-2024,22:41:52,Delivered,549.85
294,854,165,Chole Bhature,05-02-2025,03:35:33,Cancelled,357.74
295,489,109,Idli Sambhar,30-04-2025,03:33:54,Delivered,951.5
296,91,114,Fish Curry,13-09-2024,23:31:07,Cancelled,907.88
297,890,58,Kebabs,29-06-2025,21:50:15,Delivered,934.46
298,43,51,Pesarattu,26-05-2025,17:25:10,Delivered,505.99
299,512,174,Litti Chokha,27-11-2024,12:01:18,Delivered,975.06
300,167,9,Palak Paneer,27-03-2025,08:12:50,Delivered,519.28
301,788,198,Litti Chokha,30-01-2025,08:47:35,Delivered,153.03
302,245,85,Aloo Paratha,29-04-2025,06:38:37,Delivered,277.31
303,287,89,Korma,06-03-2025,10:45:14,Delivered,566.61
304,211,78,Dhokla,15-01-2025,16:46:14,Delivered,918.98
305,745,150,Rajma Chawal,30-06-2025,02:55:05,Delivered,689.33
306,476,140,Pav Bhaji,21-10-2024,14:23:09,Delivered,333.69
307,960,141,Chicken Tikka Masala,24-01-2025,13:04:40,Delivered,356.69
308,447,101,Matar Paneer,24-01-2025,15:25:21,Delivered,983.82
309,879,197,Tandoori Chicken,03-10-2024,16:17:06,Delivered,199.31
310,58,58,Paneer Tikka,25-06-2025,03:56:11,Delivered,985.81
311,409,104,Pav Bhaji,26-07-2025,15:46:43,Cancelled,534.22
312,419,32,Rogan Josh,07-05-2025,21:52:01,Delivered,218.78
313,340,55,Hyderabadi Biryani,30-06-2025,11:17:09,Delivered,889.82
314,434,176,Biryani,18-01-2025,06:33:21,Delivered,696.08
315,712,36,Rogan Josh,26-01-2025,10:09:21,Cancelled,646.63
316,198,198,Baingan Bharta,05-11-2024,04:31:55,Delivered,645.66
317,904,66,Kebabs,28-11-2024,16:26:33,Delivered,728.37
318,605,98,Paneer Tikka,08-06-2025,18:43:12,Delivered,385.85
319,682,1,Chole Bhature,11-03-2025,12:07:25,Delivered,958.16
320,309,44,Paneer Tikka,09-06-2025,22:32:57,Cancelled,461.79
321,38,170,Vada Pav,20-05-2025,03:27:42,Cancelled,692.27
322,248,172,Chicken Tikka Masala,22-03-2025,09:32:41,Cancelled,554.95
323,176,153,Pav Bhaji,19-12-2024,18:35:29,Delivered,108.77
324,188,123,Butter Chicken,16-03-2025,12:18:52,Cancelled,765.51
325,610,47,Chicken Tikka Masala,04-05-2025,21:11:53,Delivered,296.14
326,411,144,Appam with Stew,14-02-2025,15:41:18,Cancelled,290.44
327,151,39,Palak Paneer,04-07-2025,14:08:44,Delivered,243.7
328,557,37,Kebabs,12-10-2024,09:53:48,Cancelled,327.33
329,806,131,Tandoori Chicken,16-11-2024,14:10:38,Delivered,228.74
330,703,81,Appam with Stew,04-06-2025,08:09:01,Delivered,974.45
331,498,85,Litti Chokha,04-04-2025,05:16:59,Delivered,635.25
332,736,144,Fish Curry,21-11-2024,00:39:45,Delivered,517.01
333,339,190,Kebabs,07-12-2024,14:28:20,Cancelled,726.13
334,990,178,Masala Dosa,17-04-2025,22:57:52,Cancelled,604.61
335,102,44,Idli Sambhar,04-02-2025,15:58:03,Delivered,167.55
336,463,99,Pesarattu,15-01-2025,07:57:19,Delivered,411.14
337,926,106,Matar Paneer,22-02-2025,07:44:36,Delivered,877.02
338,763,155,Fish Curry,23-12-2024,11:01:58,Delivered,593.66
339,619,67,Rogan Josh,01-01-2025,22:44:08,Delivered,104.38
340,638,49,Palak Paneer,10-09-2024,09:18:41,Cancelled,392.22
341,547,79,Chicken Tikka Masala,02-12-2024,01:38:09,Delivered,961.85
342,701,81,Dhokla,17-04-2025,17:23:59,Delivered,496.85
343,51,188,Chole Bhature,22-01-2025,20:56:20,Cancelled,547.21
344,177,75,Matar Paneer,29-07-2024,10:25:36,Cancelled,557.06
345,326,177,Hyderabadi Biryani,26-05-2025,03:12:25,Delivered,888.39
346,129,149,Palak Paneer,21-11-2024,17:10:39,Delivered,997.26
347,255,61,Chicken Tikka Masala,05-08-2024,09:45:26,Cancelled,885.32
348,568,124,Pesarattu,05-02-2025,21:30:37,Delivered,129.93
349,626,93,Pesarattu,24-02-2025,09:13:22,Delivered,268.05
350,560,126,Aloo Paratha,04-12-2024,15:23:39,Delivered,398.58
351,836,17,Hyderabadi Biryani,17-07-2025,04:28:57,Delivered,428.76
352,999,169,Pav Bhaji,12-09-2024,01:35:08,Delivered,906.5
353,621,9,Butter Chicken,14-09-2024,12:48:03,Delivered,545.22
354,484,49,Kadhi Pakora,02-01-2025,12:02:51,Cancelled,925.98
355,102,169,Dhokla,20-05-2025,02:45:25,Delivered,305.87
356,202,183,Matar Paneer,08-06-2025,17:17:33,Delivered,243.73
357,541,64,Kebabs,20-11-2024,13:16:13,Delivered,920.84
358,436,98,Kebabs,30-09-2024,14:39:15,Delivered,155.21
359,233,130,Paneer Tikka,26-12-2024,14:29:16,Delivered,983.85
360,898,130,Butter Chicken,14-01-2025,17:38:40,Delivered,515.99
361,963,147,Pav Bhaji,14-10-2024,20:07:20,Delivered,393.63
362,474,4,Butter Chicken,12-09-2024,08:09:52,Cancelled,738.87
363,998,156,Rajma Chawal,05-06-2025,07:16:28,Delivered,201.44
364,973,117,Paneer Tikka,28-05-2025,13:55:04,Delivered,330.38
365,694,55,Litti Chokha,17-06-2025,15:45:37,Delivered,714.99
366,675,41,Kebabs,16-02-2025,15:59:37,Cancelled,722.15
367,967,48,Tandoori Chicken,05-07-2025,23:49:43,Cancelled,646.32
368,350,64,Korma,11-10-2024,03:06:16,Cancelled,112.53
369,515,169,Butter Chicken,26-05-2025,07:06:49,Delivered,911.15
370,566,16,Tandoori Chicken,21-09-2024,12:45:28,Delivered,413
371,567,17,Biryani,07-07-2025,18:28:47,Delivered,385.35
372,683,5,Masala Dosa,19-03-2025,07:55:17,Delivered,583.47
373,471,106,Paneer Tikka,13-06-2025,11:12:24,Delivered,665.6
374,729,101,Baingan Bharta,23-06-2025,21:43:10,Cancelled,985.53
375,928,42,Chicken Tikka Masala,02-03-2025,16:09:04,Delivered,629.23
376,229,62,Appam with Stew,17-05-2025,10:18:42,Delivered,194.65
377,295,167,Butter Chicken,26-12-2024,01:22:47,Delivered,476.45
378,471,24,Rogan Josh,27-03-2025,16:30:29,Delivered,661.41
379,694,161,Matar Paneer,08-09-2024,17:34:41,Delivered,372.2
380,883,82,Vada Pav,15-07-2025,05:48:10,Cancelled,833.12
381,626,99,Idli Sambhar,17-09-2024,05:34:13,Delivered,608.01
382,939,185,Chicken Tikka Masala,18-09-2024,03:35:05,Delivered,599.71
