restaurant_id,restaurant_name,city,opening_hours
139,Shree Alia Hub,Kolkata,10:00 - 23:00
140,Shree Hunar Express,Chennai,07:00 - 22:00
141,The Diya Heaven,Lucknow,11:00 - 21:00
142,Cafe Vihaan Hub,Mumbai,07:00 - 21:00
143,Annapurna Shray Express,Bangalore,10:00 - 23:00
144,Spice Kashvi Express,Bangalore,10:00 - 21:00
145,Cafe Purab Express,Delhi,09:00 - 21:00
146,Tandoori Eshani Delight,Mumbai,08:00 - 22:00
147,Biryani Yuvraj  Corner,Mumbai,11:00 - 21:00
148,Cafe Darshit Corner,Delhi,08:00 - 23:00
149,Spice Nitara House,Bangalore,11:00 - 22:00
150,Hotel Baiju Hub,Ahmedabad,11:00 - 22:00
151,Cafe Heer House,Bangalore,10:00 - 23:00
152,Foodie Ehsaan Heaven,Ahmedabad,08:00 - 21:00
153,Taste of Jayant Kitchen,Lucknow,07:00 - 22:00
154,Biryani Priyansh Bazaar,Ahmedabad,09:00 - 23:00
155,Cafe Yakshit Delight,Ahmedabad,09:00 - 21:00
156,Tandoori Samaira Point,Pune,08:00 - 23:00
157,Taste of Emir Bazaar,Chennai,08:00 - 22:00
158,Spice Zeeshan Kitchen,Ahmedabad,08:00 - 22:00
159,Foodie Mehul House,Chennai,08:00 - 21:00
160,Tandoori Shlok Point,Chennai,09:00 - 23:00
161,Shree Vidur Kitchen,Mumbai,10:00 - 23:00
162,Spice Dhruv Corner,Kolkata,11:00 - 21:00
163,Shree Vardaniya House,Lucknow,09:00 - 23:00
164,Taste of Elakshi Heaven,Hyderabad,09:00 - 22:00
165,Biryani Kartik House,Kolkata,10:00 - 22:00
166,Tandoori Romil Hub,Hyderabad,09:00 - 22:00
167,Annapurna Indranil Corner,Hyderabad,08:00 - 22:00
168,Annapurna Pranay House,Hyderabad,09:00 - 22:00
169,Annapurna Zara Delight,Kolkata,07:00 - 21:00
170,Tandoori Ivan Corner,Jaipur,11:00 - 21:00
171,Tandoori Anay Kitchen,Pune,10:00 - 23:00
172,Hotel Riaan Corner,Lucknow,11:00 - 23:00
173,Annapurna Ojas Hub,Mumbai,09:00 - 21:00
174,Annapurna Prerak Kitchen,Lucknow,11:00 - 22:00
175,Tandoori Mohanlal Bazaar,Delhi,09:00 - 22:00
176,The Vivaan Hub,Mumbai,10:00 - 23:00
177,The Anaya Bazaar,Bangalore,10:00 - 23:00
178,Cafe Kiaan Hub,Bangalore,08:00 - 21:00
179,Tandoori Anahita Heaven,Hyderabad,11:00 - 23:00
180,Biryani Miraan Express,Mumbai,11:00 - 22:00
181,The Oorja Delight,Ahmedabad,09:00 - 21:00
182,Shree Shalv Palace,Mumbai,10:00 - 21:00
183,Hotel Misha Point,Delhi,08:00 - 23:00
184,Hotel Yasmin Heaven,Mumbai,11:00 - 22:00
185,Tandoori Hiran Corner,Bangalore,09:00 - 23:00
186,Annapurna Ritvik Heaven,Mumbai,11:00 - 23:00
187,The Bhavin Point,Ahmedabad,09:00 - 22:00
188,Cafe Pranay Palace,Ahmedabad,07:00 - 22:00
189,Annapurna Samiha House,Pune,09:00 - 22:00
190,The Saksham Heaven,Pune,10:00 - 21:00
191,Hotel Nakul Corner,Pune,09:00 - 21:00
192,Shree Divyansh Palace,Jaipur,09:00 - 22:00
193,Foodie Armaan Kitchen,Ahmedabad,07:00 - 22:00
194,Tandoori Ishaan Palace,Lucknow,11:00 - 22:00
195,Shree Dhruv Bazaar,Delhi,07:00 - 22:00
196,Shree Vivaan Point,Mumbai,08:00 - 22:00
197,Cafe Lakshit Corner,Lucknow,07:00 - 23:00
198,Spice Damini House,Bangalore,11:00 - 21:00
199,Shree Darshit Hub,Mumbai,11:00 - 23:00
200,Shree Ranbir Delight,Chennai,09:00 - 22:00
